Rank	Word	Count	Frequency
725	fresh	29	0.000134
726	entirely	29	0.000134
727	late	29	0.000134
728	While	29	0.000134
729	upper	29	0.000134
730	possibly	29	0.000134
731	Let	29	0.000134
732	smoke	29	0.000134
733	vain	29	0.000134
734	act	29	0.000134
735	quick	29	0.000134
736	already	29	0.000134
737	foot	29	0.000134
738	tossed	29	0.000134
739	leviathan	29	0.000134
740	final	29	0.000134
741	harpoons	29	0.000134
742	stands	29	0.000134
743	mariners	29	0.000134
744	person	29	0.000134
745	wood	29	0.000134
746	question	29	0.000134
747	helm	29	0.000134
748	pass	29	0.000134
749	oh	29	0.000134
750	die	29	0.000134
751	except	29	0.000134
752	strangely	29	0.000134
753	hammer	29	0.000134
754	rising	29	0.000134
755	hull	29	0.000134
756	hoisted	29	0.000134
757	Gutenberg	28	0.000129
758	ancient	28	0.000129
759	strike	28	0.000129
760	try	28	0.000129
761	pretty	28	0.000129
762	mild	28	0.000129
763	considerable	28	0.000129
764	mast	28	0.000129
765	considering	28	0.000129
766	following	28	0.000129
767	cold	28	0.000129
768	words	28	0.000129
769	hung	28	0.000129
770	become	28	0.000129
771	touch	28	0.000129
772	third	28	0.000129
773	hope	28	0.000129
774	read	28	0.000129
775	glance	28	0.000129
776	leeward	28	0.000129
777	sides	27	0.000125
778	lie	27	0.000125
779	From	27	0.000125
780	gale	27	0.000125
781	leaning	27	0.000125
782	knows	27	0.000125
783	astern	27	0.000125
784	quarter-deck	27	0.000125
785	scene	27	0.000125
786	number	27	0.000125
787	somewhat	27	0.000125
788	certainly	27	0.000125
789	I’ve	27	0.000125
790	seeing	27	0.000125
791	feeling	27	0.000125
792	eyeing	27	0.000125
793	Queequeg’s	27	0.000125
794	sideways	27	0.000125
795	command	27	0.000125
796	Thus	27	0.000125
797	wholly	27	0.000125
798	born	27	0.000125
799	start	27	0.000125
800	alongside	27	0.000125
801	electronic	27	0.000125
802	country	26	0.000120
803	Fedallah	26	0.000120
804	Of	26	0.000120
805	One	26	0.000120
806	King	26	0.000120
807	E	26	0.000120
808	kind	26	0.000120
809	carry	26	0.000120
810	enormous	26	0.000120
811	Do	26	0.000120
812	degree	26	0.000120
813	yourself	26	0.000120
814	circumstances	26	0.000120
815	followed	26	0.000120
816	flying	26	0.000120
817	wooden	26	0.000120
818	ears	26	0.000120
819	fancy	26	0.000120
820	getting	26	0.000120
821	otherwise	26	0.000120
822	takes	26	0.000120
823	giving	26	0.000120
824	circumstance	26	0.000120
825	Nevertheless	26	0.000120
826	law	26	0.000120
827	O	26	0.000120
828	dropped	26	0.000120
829	bodily	26	0.000120
830	suspended	26	0.000120
831	pointed	26	0.000120
832	blubber	26	0.000120
833	Stubb’s	25	0.000115
834	kill	25	0.000115
835	Dutch	25	0.000115
836	hearts	25	0.000115
837	play	25	0.000115
838	yards	25	0.000115
839	learned	25	0.000115
840	fishermen	25	0.000115
841	royal	25	0.000115
842	front	25	0.000115
843	“No	25	0.000115
844	island	25	0.000115
845	bit	25	0.000115
846	different	25	0.000115
847	“Oh	25	0.000115
848	silent	25	0.000115
849	seated	25	0.000115
850	chief	25	0.000115
851	believe	25	0.000115
852	started	25	0.000115
853	stop	25	0.000115
854	—the	25	0.000115
855	thick	25	0.000115
856	cases	25	0.000115
857	supper	25	0.000115
858	chest	25	0.000115
859	I’m	25	0.000115
860	interval	25	0.000115
861	precisely	25	0.000115
862	duty	25	0.000115
863	thinking	25	0.000115
864	similar	25	0.000115
865	complete	25	0.000115
866	woe	25	0.000115
867	bearing	25	0.000115
868	whale-boat	25	0.000115
869	ahead	25	0.000115
870	steady	25	0.000115
871	keel	25	0.000115
872	blow	25	0.000115
873	First	24	0.000111
874	Thou	24	0.000111
875	warm	24	0.000111
876	dart	24	0.000111
877	thirty	24	0.000111
878	floating	24	0.000111
879	can’t	24	0.000111
880	masts	24	0.000111
881	seldom	24	0.000111
882	thrown	24	0.000111
883	love	24	0.000111
884	finally	24	0.000111
885	whale-ship	24	0.000111
886	regular	24	0.000111
887	pursuit	24	0.000111
888	storm	24	0.000111
889	drop	24	0.000111
890	exactly	24	0.000111
891	perils	24	0.000111
892	became	24	0.000111
893	afterwards	24	0.000111
894	hump	24	0.000111
895	swift	24	0.000111
896	landlord	24	0.000111
897	added	24	0.000111
898	skull	24	0.000111
899	aside	24	0.000111
900	looks	24	0.000111
901	overboard	24	0.000111
902	twenty	24	0.000111
903	friend	24	0.000111
904	hinted	24	0.000111
905	hunters	24	0.000111
906	state	24	0.000111
907	thyself	24	0.000111
908	remains	24	0.000111
909	whiteness	24	0.000111
910	oar	24	0.000111
911	coat	23	0.000106
912	grow	23	0.000106
913	“There	23	0.000106
914	six	23	0.000106
915	Sir	23	0.000106
916	year	23	0.000106
917	bright	23	0.000106
918	regarded	23	0.000106
919	bound	23	0.000106
920	vessels	23	0.000106
921	watery	23	0.000106
922	honor	23	0.000106
923	orders	23	0.000106
924	nevertheless	23	0.000106
925	gods	23	0.000106
926	wall	23	0.000106
927	lances	23	0.000106
928	Upon	23	0.000106
929	flew	23	0.000106
930	cause	23	0.000106
931	hot	23	0.000106
932	passing	23	0.000106
933	hidden	23	0.000106
934	during	23	0.000106
935	ran	23	0.000106
936	cutting	23	0.000106
937	alive	23	0.000106
938	commanded	23	0.000106
939	sweet	23	0.000106
940	instead	23	0.000106
941	hint	23	0.000106
942	rose	23	0.000106
943	chapter	23	0.000106
944	hence	23	0.000106
945	speaking	23	0.000106
946	escape	23	0.000106
947	circle	23	0.000106
948	strength	23	0.000106
949	spread	23	0.000106
950	remain	23	0.000106
951	secret	23	0.000106
952	level	23	0.000106
953	battle	22	0.000102
954	stove	22	0.000102
955	blows	22	0.000102
956	lives	22	0.000102
957	rear	22	0.000102
958	answer	22	0.000102
959	drawn	22	0.000102
960	beyond	22	0.000102
961	fiery	22	0.000102
962	wonderful	22	0.000102
963	centre	22	0.000102
964	midnight	22	0.000102
965	filled	22	0.000102
966	shipmates	22	0.000102
967	higher	22	0.000102
968	It’s	22	0.000102
969	real	22	0.000102
970	drew	22	0.000102
971	flesh	22	0.000102
972	burst	22	0.000102
973	deadly	22	0.000102
974	beat	22	0.000102
975	descried	22	0.000102
976	lad	22	0.000102
977	souls	22	0.000102
978	windward	22	0.000102
979	d’ye	22	0.000102
980	dashed	22	0.000102
981	gazing	22	0.000102
982	hunt	22	0.000102
983	fin	22	0.000102
984	pulling	22	0.000102
985	Parsee	22	0.000102
986	shore	21	0.000097
987	magnitude	21	0.000097
988	somewhere	21	0.000097
989	forty	21	0.000097
990	answered	21	0.000097
991	striking	21	0.000097
992	directly	21	0.000097
993	decks	21	0.000097
994	Who	21	0.000097
995	formed	21	0.000097
996	port	21	0.000097
997	tall	21	0.000097
998	spot	21	0.000097
999	didn’t	21	0.000097
1000	talk	21	0.000097
1001	repeated	21	0.000097
1002	spring	21	0.000097
1003	hair	21	0.000097
1004	original	21	0.000097
1005	“But	21	0.000097
1006	hole	21	0.000097
1007	spare	21	0.000097
1008	break	21	0.000097
1009	terrible	21	0.000097
1010	game	21	0.000097
1011	follow	21	0.000097
1012	quickly	21	0.000097
1013	lofty	21	0.000097
1014	age	21	0.000097
1015	prow	21	0.000097
1016	lord	21	0.000097
1017	loose	21	0.000097
1018	windlass	21	0.000097
1019	000	21	0.000097
1020	attached	21	0.000097
1021	St	21	0.000097
1022	beheld	21	0.000097
1023	Lakeman	21	0.000097
1024	Foundation	21	0.000097
1025	States	20	0.000092
1026	besides	20	0.000092
1027	former	20	0.000092
1028	“He	20	0.000092
1029	Like	20	0.000092
1030	swim	20	0.000092
1031	master	20	0.000092
1032	important	20	0.000092
1033	swam	20	0.000092
1034	everything	20	0.000092
1035	meet	20	0.000092
1036	distant	20	0.000092
1037	lies	20	0.000092
1038	separate	20	0.000092
1039	needs	20	0.000092
1040	swung	20	0.000092
1041	inches	20	0.000092
1042	sitting	20	0.000092
1043	negro	20	0.000092
1044	dim	20	0.000092
1045	gigantic	20	0.000092
1046	subject	20	0.000092
1047	minutes	20	0.000092
1048	raised	20	0.000092
1049	beginning	20	0.000092
1050	aboard	20	0.000092
1051	outer	20	0.000092
1052	past	20	0.000092
1053	ways	20	0.000092
1054	profound	20	0.000092
1055	slightest	20	0.000092
1056	died	20	0.000092
1057	step	20	0.000092
1058	laid	20	0.000092
1059	base	20	0.000092
1060	billows	20	0.000092
1061	hanging	20	0.000092
1062	hailed	20	0.000092
1063	according	20	0.000092
1064	owing	20	0.000092
1065	invested	20	0.000092
1066	advance	20	0.000092
1067	dignity	20	0.000092
1068	evinced	20	0.000092
1069	lowered	20	0.000092
1070	terror	20	0.000092
1071	Don	20	0.000092
1072	gunwale	20	0.000092
1073	Radney	20	0.000092
1074	dat	20	0.000092
1075	copy	19	0.000088
1076	empty	19	0.000088
1077	hast	19	0.000088
1078	Sea	19	0.000088
1079	king	19	0.000088
1080	South	19	0.000088
1081	largest	19	0.000088
1082	French	19	0.000088
1083	ordinary	19	0.000088
1084	eight	19	0.000088
1085	vicinity	19	0.000088
1086	tree	19	0.000088
1087	leaves	19	0.000088
1088	hollow	19	0.000088
1089	winds	19	0.000088
1090	deeper	19	0.000088
1091	jolly	19	0.000088
1092	presented	19	0.000088
1093	worse	19	0.000088
1094	England	19	0.000088
1095	truly	19	0.000088
1096	fain	19	0.000088
1097	floor	19	0.000088
1098	jacket	19	0.000088
1099	concluded	19	0.000088
1100	marked	19	0.000088
1101	smoking	19	0.000088
1102	wife	19	0.000088
1103	precise	19	0.000088
1104	hunted	19	0.000088
1105	stuff	19	0.000088
1106	solitary	19	0.000088
1107	eternal	19	0.000088
1108	upwards	19	0.000088
1109	terrors	19	0.000088
1110	swiftly	19	0.000088
1111	reached	19	0.000088
1112	casks	19	0.000088
1113	globe	19	0.000088
1114	Nantucketer	19	0.000088
1115	what’s	19	0.000088
1116	sink	19	0.000088
1117	sorts	19	0.000088
1118	rapidly	19	0.000088
1119	Starbuck’s	19	0.000088
1120	Meantime	19	0.000088
1121	whalers	19	0.000088
1122	cruising	19	0.000088
1123	copyright	19	0.000088
1124	United	18	0.000083
1125	Gabriel	18	0.000083
1126	Death	18	0.000083
1127	modern	18	0.000083
1128	ribs	18	0.000083
1129	Atlantic	18	0.000083
1130	observed	18	0.000083
1131	engaged	18	0.000083
1132	“It	18	0.000083
1133	quietly	18	0.000083
1134	content	18	0.000083
1135	pay	18	0.000083
1136	difference	18	0.000083
1137	nameless	18	0.000083
1138	Bedford	18	0.000083
1139	—but	18	0.000083
1140	ice	18	0.000083
1141	sought	18	0.000083
1142	telling	18	0.000083
